id,status,recordingUrl,notes,tags,slug,source,campaign,applicant,cv,created_at,updated_at
6730,new,,Applied through Cibli Jobs,[],1f6gef0wXdQ5sYwPYH9q,cabine cibli job,{'id': 330},{'id': 6832},{'id': 6154},2026-01-13 13:05:08,2026-01-13T13:05:08.000Z
6731,new,,Applied through Cibli Jobs,[],VHESH2DkaLNxurEYOsv,cabine cibli job,{'id': 300},{'id': 6833},{'id': 6155},2026-01-13 13:05:49,2026-01-13T13:05:49.000Z
6732,new,,Applied through Cibli Jobs,[],fnRIuD6s1mNCBuSVb1S,cabine cibli job,{'id': 329},{'id': 6834},{'id': 6156},2026-01-13 13:06:24,2026-01-13T13:06:24.000Z
6733,new,,Applied through Cibli Jobs,[],XKh3Vgp3yOQIZI8QSeWg,cabine cibli job,{'id': 331},{'id': 6835},{'id': 6157},2026-01-13 13:07:04,2026-01-13T13:07:04.000Z
6734,new,,Applied through Cibli Jobs,[],1KBkHKm5YnsMnVFzKs,cabine cibli job,{'id': 228},{'id': 6836},{'id': 6158},2026-01-13 13:07:24,2026-01-13T13:07:24.000Z
6735,new,,Applied through Cibli Jobs,[],yJqgD11DKDzbvC0vMwnC,cabine cibli job,{'id': 189},{'id': 6837},{'id': 6159},2026-01-13 13:08:08,2026-01-13T13:08:08.000Z
6736,new,,Applied through Cibli Jobs,[],C1mXAGtLMyAY3PVNGcAI,cabine cibli job,{'id': 188},{'id': 6838},{'id': 6160},2026-01-13 13:08:32,2026-01-13T13:08:32.000Z
